Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
34,Arc,stairs,60,10,0.354554,Partial Breach (2 escaped, 8 captured)
34,Arc,stairs,61,10,0.502795,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,62,10,0.398607,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,63,10,0.567908,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,64,10,0.476348,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,65,10,0.413494,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,66,10,0.494948,Partial Breach (2 escaped, 8 captured)
34,Arc,stairs,67,10,0.379638,Partial Breach (2 escaped, 8 captured)
34,Arc,stairs,68,10,0.418587,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,69,10,0.474909,Partial Breach (4 escaped, 6 captured)
34,Arc,stairs,70,10,0.479964,Partial Breach (4 escaped, 6 captured)
34,Arc,stairs,71,10,0.487592,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,72,10,0.482655,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,73,10,0.409408,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,74,10,0.44903,Partial Breach (2 escaped, 8 captured)
34,Arc,random,75,10,0.344677,Partial Breach (2 escaped, 8 captured)
34,Arc,random,76,10,0.299465,Partial Breach (3 escaped, 7 captured)
34,Arc,random,77,10,0.344653,Partial Breach (1 escaped, 9 captured)
34,Arc,random,78,10,0.275396,Partial Breach (1 escaped, 9 captured)
34,Arc,random,79,10,0.30327,Partial Breach (1 escaped, 9 captured)
34,Arc,random,80,10,0.293545,Partial Breach (4 escaped, 6 captured)
34,Arc,random,81,10,0.391424,Pursuers Victory (All intercepted)
34,Arc,random,82,10,0.35372,Pursuers Victory (All intercepted)
34,Arc,random,83,10,0.438904,Partial Breach (2 escaped, 8 captured)
34,Arc,random,84,10,0.545984,Partial Breach (1 escaped, 9 captured)
34,Arc,random,85,10,0.753937,Partial Breach (3 escaped, 7 captured)
34,Arc,random,86,10,0.420548,Partial Breach (5 escaped, 5 captured)
34,Arc,random,87,10,0.376997,Partial Breach (1 escaped, 9 captured)
34,Arc,random,88,10,0.3594,Partial Breach (1 escaped, 9 captured)
34,Arc,random,89,10,0.41261,Partial Breach (1 escaped, 9 captured)
34,Arc,random,90,10,0.479276,Partial Breach (3 escaped, 7 captured)
34,Arc,random,91,10,0.340026,Partial Breach (1 escaped, 9 captured)
34,Arc,random,92,10,0.404401,Partial Breach (1 escaped, 9 captured)
34,Arc,random,93,10,0.437893,Pursuers Victory (All intercepted)
34,Arc,random,94,10,0.347958,Partial Breach (3 escaped, 7 captured)
34,Arc,random,95,10,0.399913,Partial Breach (1 escaped, 9 captured)
34,Arc,random,96,10,0.357009,Pursuers Victory (All intercepted)
34,Arc,random,97,10,0.393226,Partial Breach (1 escaped, 9 captured)
34,Arc,random,98,10,0.30426,Partial Breach (4 escaped, 6 captured)
34,Arc,random,99,10,0.391163,Partial Breach (2 escaped, 8 captured)
