step,id,type,x,y,z
21,9,pursuer,165.23,184.696,75.0475
22,0,escaper,90.9513,113.621,200.008
22,1,escaper,138.284,164.537,199.995
22,2,escaper,29.4202,58.1547,199.994
22,0,pursuer,140.959,95.8582,83.5985
22,1,pursuer,139.371,95.4976,83.2308
22,2,pursuer,161.175,94.8366,85.7977
22,3,pursuer,51.198,39.7511,75.7819
22,4,pursuer,197.215,145.86,84.852
22,5,pursuer,127.376,48.6388,85.6335
22,6,pursuer,163.98,156.767,78.1257
22,7,pursuer,104.131,166.848,69.935
22,8,pursuer,204.906,146.685,85.7095
22,9,pursuer,166.393,184.308,78.8549
23,0,escaper,91.0506,113.633,200.009
23,1,escaper,138.384,164.548,199.994
23,2,escaper,29.5195,58.1666,199.994
23,0,pursuer,141.279,96.6901,87.498
23,1,pursuer,139.752,96.3384,87.1228
23,2,pursuer,160.784,95.712,89.6812
23,3,pursuer,52.5395,40.537,79.4674
23,4,pursuer,197.199,146.734,88.7553
23,5,pursuer,126.137,49.1914,89.3965
23,6,pursuer,165.167,157.249,81.9151
23,7,pursuer,105.77,165.678,73.3911
23,8,pursuer,204.615,147.535,89.6072
23,9,pursuer,167.491,183.92,82.6818
24,0,escaper,91.1498,113.645,200.01
24,1,escaper,138.483,164.561,199.994
24,2,escaper,29.6187,58.179,199.994
24,0,pursuer,141.53,97.5253,91.4017
24,1,pursuer,140.065,97.1828,91.0202
24,2,pursuer,160.331,96.5889,93.5574
24,3,pursuer,53.8185,41.3289,83.1737
24,4,pursuer,197.116,147.611,92.6571
24,5,pursuer,124.849,49.7451,93.1428
24,6,pursuer,166.287,157.734,85.7242
24,7,pursuer,107.354,164.503,76.8708
24,8,pursuer,204.259,148.387,93.4993
24,9,pursuer,168.52,183.532,86.5274
25,0,escaper,91.2489,113.658,200.01
25,1,escaper,138.582,164.574,199.993
25,2,escaper,29.7179,58.192,199.994
25,0,pursuer,141.71,98.363,95.3089
25,1,pursuer,140.306,98.0299,94.922
25,2,pursuer,159.812,97.4663,97.4254
25,3,pursuer,55.0325,42.1263,86.9007
25,4,pursuer,196.964,148.489,96.5566
25,5,pursuer,123.512,50.2992,96.8716
25,6,pursuer,167.338,158.224,89.5524
25,7,pursuer,108.881,163.321,80.374
25,8,pursuer,203.836,149.239,97.3846
25,9,pursuer,169.48,183.143,90.3911
26,0,escaper,91.348,113.672,200.011
26,1,escaper,138.681,164.587,199.992
26,2,escaper,29.817,58.2055,199.993
26,0,pursuer,141.819,99.2019,99.2184
26,1,pursuer,140.475,98.8784,98.8273
26,2,pursuer,159.229,98.343,101.284
26,3,pursuer,56.1778,42.9293,90.6482
26,4,pursuer,196.744,149.367,100.453
26,5,pursuer,122.12,50.8535,100.58
26,6,pursuer,168.318,158.716,93.3991
26,7,pursuer,110.348,162.133,83.9007
26,8,pursuer,203.348,150.09,101.262
26,9,pursuer,170.368,182.753,94.2718
27,0,escaper,91.4467,113.688,200.012
27,1,escaper,138.78,164.601,199.992
27,2,escaper,29.916,58.2195,199.993
27,0,pursuer,141.85,100.084,103.12
27,1,pursuer,140.567,99.7707,102.725
27,2,pursuer,158.577,99.2611,105.122
27,3,pursuer,57.2528,43.7363,94.4156
27,4,pursuer,196.451,150.244,104.344
27,5,pursuer,120.677,51.4068,104.27
27,6,pursuer,169.224,159.21,97.2637
27,7,pursuer,111.744,160.975,87.466
27,8,pursuer,202.79,150.941,105.131
27,9,pursuer,171.18,182.362,98.1689
28,0,escaper,91.5456,113.702,200.012
28,1,escaper,138.879,164.616,199.991
28,2,escaper,30.0149,58.234,199.993
28,0,pursuer,141.806,100.922,107.031
28,1,pursuer,140.584,100.618,106.635
28,2,pursuer,157.856,100.133,108.959
28,3,pursuer,58.2548,44.5464,98.2023
28,4,pursuer,196.082,151.12,108.23
28,5,pursuer,119.181,51.9586,107.938
28,6,pursuer,170.052,159.705,101.146
28,7,pursuer,113.084,159.772,91.0374
28,8,pursuer,202.159,151.789,108.989
28,9,pursuer,171.913,181.968,102.081
29,0,escaper,91.6445,113.717,200.013
29,1,escaper,138.978,164.63,199.99
29,2,escaper,30.1135,58.2506,199.993
29,0,pursuer,141.683,101.758,110.941
29,1,pursuer,140.521,101.465,110.544
29,2,pursuer,157.066,101.001,112.783
29,3,pursuer,59.1762,45.3912,102.002
29,4,pursuer,195.637,151.976,112.112
29,5,pursuer,117.63,52.5407,111.579
29,6,pursuer,170.801,160.182,105.046
29,7,pursuer,114.358,158.561,94.6307
29,8,pursuer,201.456,152.616,112.838
29,9,pursuer,172.568,181.552,106.005
30,0,escaper,91.7433,113.733,200.014
30,1,escaper,139.077,164.646,199.99
30,2,escaper,30.2123,58.2662,199.993
30,0,pursuer,141.478,102.592,114.847
30,1,pursuer,140.376,102.309,114.451
30,2,pursuer,156.202,101.865,116.592
30,3,pursuer,60.0222,46.2041,105.826
30,4,pursuer,195.114,152.847,115.981
